keyword,keyword_uri,wikidata_qid,wikidata_uri,wikidata_label,wikidata_description,match_type,search_lang
Mobilfunkinfrastrukturgesellschaft,http://example.org/digitalhaushalt/keyword/mobilfunkinfrastrukturgesellschaft,Q105062003,http://www.wikidata.org/entity/Q105062003,Mobilfunkinfrastrukturgesellschaft,Bundeseigene Gesellschaft des Bundesministeriums für Digitales und Verkehr,exact,de
Elektronische Portal,http://example.org/digitalhaushalt/keyword/elektronische-portal,,,,,none,
Mobilfunkausbaus,http://example.org/digitalhaushalt/keyword/mobilfunkausbaus,,,,,none,
Gigabitbüro,http://example.org/digitalhaushalt/keyword/gigabitbuero,,,,,none,
Digitalstrategie,http://example.org/digitalhaushalt/keyword/digitalstrategie,Q121197805,http://www.wikidata.org/entity/Q121197805,Digitalstrategie Deutschland,Zukunftsvision zur digitalen Transformation in Deutschland,fuzzy,de
Digitalinfrastrukturgesetz,http://example.org/digitalhaushalt/keyword/digitalinfrastrukturgesetz,,,,,none,
Digitale Testfelder,http://example.org/digitalhaushalt/keyword/digitale-testfelder,,,,,none,
MFUND,http://example.org/digitalhaushalt/keyword/mfund,Q10450130,http://www.wikidata.org/entity/Q10450130,Mfundo Shumana,südafrikanischer Fußballspieler,fuzzy,de
Peer-to-Peer,http://example.org/digitalhaushalt/keyword/peer-to-peer,Q161410,http://www.wikidata.org/entity/Q161410,Peer-to-Peer,"dezentrales, verteiltes Netzwerk gleichberechtigter Teilnehmer",exact,de
Drohnendetektion,http://example.org/digitalhaushalt/keyword/drohnendetektion,,,,,none,
Blockchain-Technologie,http://example.org/digitalhaushalt/keyword/blockchain-technologie,Q130376267,http://www.wikidata.org/entity/Q130376267,Blockchain-Technologie,"the technology used to create a digital database containing information (such as records of financial transactions) that can be simultaneously used and shared within a large decentralized, publicly accessible network",exact,de
Positionsdaten,http://example.org/digitalhaushalt/keyword/positionsdaten,,,,,none,
Elektronische Mauterhebung,http://example.org/digitalhaushalt/keyword/elektronische-mauterhebung,Q1191337,http://www.wikidata.org/entity/Q1191337,Elektronische Mauterhebung,Kontaktlose Methode der Erhebung von Benutzungsgebühren für Verkehrswege,exact,de
Digitale Dividende,http://example.org/digitalhaushalt/keyword/digitale-dividende,Q1224896,http://www.wikidata.org/entity/Q1224896,digitale Dividende,Technologie,exact,de
Breitbandausbau,http://example.org/digitalhaushalt/keyword/breitbandausbau,Q55721124,http://www.wikidata.org/entity/Q55721124,"Breitbandausbau in Österreich: Ausgangslage, Technologien, Strategien, Förderprogramme","Wissenschaftlicher Artikel, veröffentlicht in der Zeitschrift ""Der Öffentliche Sektor""",fuzzy,de
Internet Governance Forum,http://example.org/digitalhaushalt/keyword/internet-governance-forum,Q1354096,http://www.wikidata.org/entity/Q1354096,Internet Governance Forum,Organisation,exact,de
Datenschutz und die Informationsfreiheit,http://example.org/digitalhaushalt/keyword/datenschutz-und-die-informationsfreiheit,,,,,none,
Computerspieleentwicklung,http://example.org/digitalhaushalt/keyword/computerspieleentwicklung,Q1061635,http://www.wikidata.org/entity/Q1061635,Computerspieleentwicklung,Prozess zur Entwicklung eines Computerspiels,exact,de
Breitbandbüro,http://example.org/digitalhaushalt/keyword/breitbandbuero,,,,,none,
Gigabit,http://example.org/digitalhaushalt/keyword/gigabit,Q3105497,http://www.wikidata.org/entity/Q3105497,Gigabit,"unit of digital information equal to one billion bits or 1,000 megabits",exact,de
Breitband,http://example.org/digitalhaushalt/keyword/breitband,Q24636819,http://www.wikidata.org/entity/Q24636819,Breitband,"Hörfunksendung, Magazin für Medien und digitale Kultur",exact,de
5x5G-Strategie,http://example.org/digitalhaushalt/keyword/5x5g-strategie,,,,,none,
Mittelstand Digital,http://example.org/digitalhaushalt/keyword/mittelstand-digital,,,,,none,
Mittelstand 4.0,http://example.org/digitalhaushalt/keyword/mittelstand-4-0,,,,,none,
IT-Lösungen,http://example.org/digitalhaushalt/keyword/it-loesungen,,,,,none,
Elektronischen Business,http://example.org/digitalhaushalt/keyword/elektronischen-business,,,,,none,
Informations- und Kommunikationstechnologien,http://example.org/digitalhaushalt/keyword/informations-und-kommunikationstechnologien,Q119577130,http://www.wikidata.org/entity/Q119577130,Informations- und Kommunikationstechnologien in der angewandten Trainingswissenschaft: Beiträge zur 13. Frühjahrsschule des IAT am 13./14. April 2011 in Leipzig,proceedings,fuzzy,de
Digital Transformation,http://example.org/digitalhaushalt/keyword/digital-transformation,Q4252370,http://www.wikidata.org/entity/Q4252370,digitale Transformation,"in digitalen Technologien begründeter Veränderungsprozess, der die gesamte Gesellschaft und insbesondere Unternehmen betrifft",exact,de
KI-Trainer,http://example.org/digitalhaushalt/keyword/ki-trainer,,,,,none,
go-digital,http://example.org/digitalhaushalt/keyword/go-digital,Q5132414,http://www.wikidata.org/entity/Q5132414,Digital Planet,britische Hörfunksendung des BBC World Service,fuzzy,de
Digital Jetzt,http://example.org/digitalhaushalt/keyword/digital-jetzt,,,,,none,
KI-Readiness,http://example.org/digitalhaushalt/keyword/ki-readiness,,,,,none,
Quanten,http://example.org/digitalhaushalt/keyword/quanten,Q1133068,http://www.wikidata.org/entity/Q1133068,Quantenpunkt,Systeme an der Schwelle zwischen mit klassischer Mechanik und mit Quantenmechanik beschreibbarer Physik,fuzzy,de
Datenwirtschaft,http://example.org/digitalhaushalt/keyword/datenwirtschaft,Q59385693,http://www.wikidata.org/entity/Q59385693,Datenökonomie,type of economy,exact,de
Junge Digitale Wirtschaft,http://example.org/digitalhaushalt/keyword/junge-digitale-wirtschaft,,,,,none,
